Region,Road Type,Vehicle,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
England,Motorway,1. Motorcycles,0.00464623449621,0.00447372099357,0.00423354593457,0.00404564172073,0.00435038686136,0.0036442100282,0.00347431401658,0.00344541848476,0.00397174300243,0.00398765913588,0.00399328671922,0.00400962409747,0.00403059423824,0.00398398830025,0.00393213012142,0.00388539582946,0.00384139528641,0.00380282564104,0.00377054458289,0.00374365654069,0.00372588949674,0.00371393539302,0.00370803841928,0.00370711567106,0.00370140423504,0.00368321695794,0.0036491425274,0.00361563416472
England,Motorway,2a. Petrol Cars,0.426678228984,0.429354481867,0.419884443375,0.394402679346,0.369144075771,0.34849354637,0.331763881217,0.315678126251,0.297056274238,0.281450383465,0.270847246159,0.265040617602,0.263051462571,0.262557022788,0.26412467146,0.267487528114,0.272900096529,0.281270389789,0.290266080955,0.299718840268,0.309256028358,0.318598802723,0.327493759945,0.335940044581,0.343754891088,0.350915277085,0.357408625873,0.363235431167
England,Motorway,2b. Diesel Cars,0.324614305334,0.321426983867,0.330446401214,0.356551209452,0.381351104347,0.399353081758,0.410673877404,0.420469120059,0.439817654193,0.456503494147,0.468154298064,0.474962721921,0.47792016414,0.478600031827,0.477201900843,0.473987121479,0.468701236191,0.460427514852,0.450319283833,0.439769203015,0.429149232342,0.418742129925,0.408802432841,0.399395690756,0.390645665112,0.382580792664,0.375215819899,0.368537681015
England,Motorway,2c. Taxis (black cab),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England,Motorway,3a. Petrol LGVs,0.0083683943231,0.0076170587672,0.00717686000735,0.00664957526502,0.00618419899113,0.00568503115493,0.00543331048802,0.00519786572004,0.00453610253071,0.00400296343425,0.00354477523506,0.00317451123403,0.00288112363162,0.00270977208989,0.00258957732039,0.00246804631315,0.00238455691548,0.00228985446073,0.0021953435694,0.00211394550848,0.00204219595686,0.0019773847727,0.00191776191738,0.00186020548946,0.00180662905265,0.00175699136178,0.00171104164488,0.00166849036265
England,Motorway,3b. Diesel LGVs,0.110780831412,0.11328863595,0.115468022803,0.119267577134,0.120791273671,0.128797516344,0.132298142123,0.135864813962,0.134263548654,0.132621216433,0.130928665633,0.129168313393,0.127347349929,0.128491511972,0.129560215095,0.130605373582,0.131590609887,0.132570059084,0.133979775939,0.135350076539,0.136683301758,0.137982296822,0.139248496133,0.140322565172,0.141372118479,0.142398693362,0.143403472478,0.14438484578
England,Motorway,4a. Buses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England,Motorway,4b. Coaches,0.00445933093771,0.00441051691916,0.00436273107146,0.00401729316911,0.0040923331346,0.003625198589,0.00339178052927,0.00319824836004,0.00319613599086,0.00319593459853,0.00319624333652,0.00319697619586,0.00319805971955,0.00313207340329,0.00306851980438,0.00300722112322,0.00294809515023,0.0028911059866,0.0028533764692,0.00281649624684,0.00278039644049,0.00274503835014,0.00271037752015,0.00267865962877,0.00264751633783,0.00261694957158,0.00258695083816,0.0025574624496
England,Motorway,5a. Rigid HGVs,0.041790737088,0.0412994466642,0.0408182863966,0.0380774651857,0.0400845032486,0.0327326885093,0.0338776410305,0.0361424754618,0.0363634330587,0.0366056190068,0.0368533205876,0.0371056570561,0.0373618677759,0.0368641928623,0.0363857163432,0.0359248580786,0.0354811326841,0.0350545939112,0.0349075457782,0.0347642547267,0.0346240896678,0.0344867707752,0.0343519304162,0.0341280191727,0.0339080791351,0.033692226221,0.033480442943,0.0332720703758
England,Motorway,5b. Artic HGVs,0.0786619374249,0.0781291549713,0.0776097091981,0.0769885587267,0.0740021239763,0.0776687272468,0.0790870531914,0.0800039317018,0.0807951083322,0.0816327297794,0.0824821642656,0.0833415785005,0.0842093779937,0.0836614067576,0.0831372690132,0.0826344554806,0.0821528773567,0.0816936562751,0.0817080488738,0.0817235271552,0.0817388659802,0.081753641239,0.0817672028075,0.0819676995289,0.0821636965598,0.0823558527766,0.0825445037968,0.0827283846855
England,Rural,1. Motorcycles,0.0100533553124,0.0099017729008,0.00860309368494,0.00930244788811,0.00929032802727,0.00932723750505,0.00933703589152,0.00889325772918,0.00896705119505,0.00876910231097,0.00856940086506,0.00839726415594,0.0082486925464,0.00809456879216,0.00795732304322,0.00784663199244,0.00774028216185,0.0076386710077,0.00756689474781,0.00750404941245,0.00745824251549,0.00742830707702,0.00740151541154,0.00737041646858,0.00733452525128,0.00728609695396,0.00722099215357,0.00715695132989
England,Rural,2a. Petrol Cars,0.517984769088,0.512937818768,0.500559225419,0.480387155595,0.458823274554,0.449965881665,0.428270791286,0.407610834641,0.390739413511,0.376521457467,0.366763228541,0.361239404655,0.359016547348,0.357836924146,0.35854420779,0.360891761426,0.365108870273,0.372007744535,0.379444128501,0.387308031921,0.395266135569,0.403074181385,0.410514849657,0.417691799717,0.424341507076,0.43044040309,0.435972340416,0.440928908279
