year,area,euro,version,speed,vehicle,type,NOx (g/km/s/veh),PM10 (g/km/s/veh),PM2.5 (g/km/s/veh)
2016,Scotland,0,7.4,8,CNG Bus,Motorway (not London),0.00069444446126,1.93561409105e-05,1.15042184916e-05
2016,Scotland,0,7.4,8,Diesel Car,Motorway (not London),0.000252632598858,8.33904196043e-05,7.77568493504e-05
2016,Scotland,0,7.4,8,E85 Bioethanol Cars,Motorway (not London),0.000435792579083,4.49569142802e-06,2.80685890175e-06
2016,Scotland,0,7.4,8,E85 Bioethanol LGV,Motorway (not London),0.000550748081878,5.63927460462e-06,3.5439122712e-06
2016,Scotland,0,7.4,8,FCEV Bus,Motorway (not London),0.0,1.79672515515e-05,1.018477451e-05
2016,Scotland,0,7.4,8,FCEV Cars,Motorway (not London),0.0,4.0696081669e-06,2.40208009927e-06
2016,Scotland,0,7.4,8,FCEV LGV,Motorway (not London),0.0,5.21319179825e-06,3.13913324135e-06
2016,Scotland,0,7.4,8,Full Hybrid Diesel Cars,Motorway (not London),0.00027608484379,1.42747267091e-05,1.20969425552e-05
2016,Scotland,0,7.4,8,Full Hybrid Petrol Cars,Motorway (not London),0.000217896289541,4.60221190224e-06,2.90805360237e-06
2016,Scotland,0,7.4,8,Full Hybrid Petrol LGV,Motorway (not London),1.3415158719e-05,5.42490988664e-06,3.34026572091e-06
2016,Scotland,0,7.4,8,Hybrid Bus,Motorway (not London),0.00274155149236,3.7766447349e-05,2.89940089715e-05
2016,Scotland,0,7.4,8,LGV,Motorway (not London),0.001057997928,6.51545051369e-05,6.00833773206e-05
2016,Scotland,0,7.4,8,LPG Cars,Motorway (not London),8.80555526237e-05,4.60221190224e-06,2.90805360237e-06
2016,Scotland,0,7.4,8,LPG LGV,Motorway (not London),0.000261580717051,5.74579553358e-06,3.64510697182e-06
2016,Scotland,0,7.4,8,Motorcycle,Motorway (not London),3.17573430948e-05,5.02181865158e-06,4.15230806539e-06
2016,Scotland,0,7.4,8,Petrol Car,Motorway (not London),0.000435792579083,4.60221190224e-06,2.90805360237e-06
2016,Scotland,0,7.4,8,Plug-In Hybrid Petrol Cars,Motorway (not London),4.35792571807e-05,4.12286863138e-06,2.4526773359e-06
2016,Scotland,0,7.4,8,Plug-In Hybrid Petrol LGV,Motorway (not London),8.46194088808e-05,5.23238622918e-06,3.15736838274e-06
2016,Scotland,0,7.4,8,Rigid HGV,Motorway (not London),0.00476405210793,0.000263716385234,0.000243932023295
2016,Scotland,0,7.4,9,Artic HGV,Motorway (not London),0.00761536788195,0.000343445455655,0.000318560516462
2016,Scotland,0,7.4,9,B100 Artic HGV,Motorway (not London),0.00667868088931,3.63980361726e-05,2.68654639513e-05
2016,Scotland,0,7.4,9,B100 Bus,Motorway (not London),0.0045799841173,2.70554410235e-05,1.88185531442e-05
2016,Scotland,0,7.4,9,B100 Coach,Motorway (not London),0.00632201088592,5.18123997608e-05,4.23376659455e-05
2016,Scotland,0,7.4,9,B100 Rigid HGV,Motorway (not London),0.00409103464335,2.65182625299e-05,1.85938242794e-05
2016,Scotland,0,7.4,9,Battery EV Cars,Motorway (not London),0.0,4.0696081669e-06,2.40208009927e-06
2016,Scotland,0,7.4,9,Battery EV LGV,Motorway (not London),0.0,5.21319179825e-06,3.13913324135e-06
2016,Scotland,0,7.4,9,Biogas Bus,Motorway (not London),0.00069444446126,1.93561409105e-05,1.15042184916e-05
2016,Scotland,0,7.4,9,Biomethane Bus,Motorway (not London),0.00069444446126,1.93561409105e-05,1.15042184916e-05
2016,Scotland,0,7.4,9,Bus and Coach,Motorway (not London),0.00714277615771,0.00033266475657,0.000309147406369
2016,Scotland,0,7.4,9,CNG Bus,Motorway (not London),0.00069444446126,1.93561409105e-05,1.15042184916e-05
2016,Scotland,0,7.4,9,Diesel Car,Motorway (not London),0.000252632598858,8.33904196043e-05,7.77568493504e-05
2016,Scotland,0,7.4,9,E85 Bioethanol Cars,Motorway (not London),0.000435792579083,4.49569142802e-06,2.80685890175e-06
2016,Scotland,0,7.4,9,E85 Bioethanol LGV,Motorway (not London),0.000550748081878,5.63927460462e-06,3.5439122712e-06
2016,Scotland,0,7.4,9,FCEV Bus,Motorway (not London),0.0,1.79672515515e-05,1.018477451e-05
2016,Scotland,0,7.4,9,FCEV Cars,Motorway (not London),0.0,4.0696081669e-06,2.40208009927e-06
2016,Scotland,0,7.4,9,FCEV LGV,Motorway (not London),0.0,5.21319179825e-06,3.13913324135e-06
2016,Scotland,0,7.4,9,Full Hybrid Diesel Cars,Motorway (not London),0.00027608484379,1.42747267091e-05,1.20969425552e-05
2016,Scotland,0,7.4,9,Full Hybrid Petrol Cars,Motorway (not London),0.000217896289541,4.60221190224e-06,2.90805360237e-06
2016,Scotland,0,7.4,9,Full Hybrid Petrol LGV,Motorway (not London),1.33628445838e-05,5.42490988664e-06,3.34026572091e-06
2016,Scotland,0,7.4,9,Hybrid Bus,Motorway (not London),0.00250743003562,3.7766447349e-05,2.89940089715e-05
2016,Scotland,0,7.4,9,LGV,Motorway (not London),0.001057997928,6.51545051369e-05,6.00833773206e-05
2016,Scotland,0,7.4,9,LPG Cars,Motorway (not London),8.80555526237e-05,4.60221190224e-06,2.90805360237e-06
2016,Scotland,0,7.4,9,LPG LGV,Motorway (not London),0.000261580717051,5.74579553358e-06,3.64510697182e-06
2016,Scotland,0,7.4,9,Motorcycle,Motorway (not London),3.17573430948e-05,5.02181865158e-06,4.15230806539e-06
2016,Scotland,0,7.4,9,Petrol Car,Motorway (not London),0.000435792579083,4.60221190224e-06,2.90805360237e-06
2016,Scotland,0,7.4,9,Plug-In Hybrid Petrol Cars,Motorway (not London),4.35792571807e-05,4.12286863138e-06,2.4526773359e-06
2016,Scotland,0,7.4,9,Plug-In Hybrid Petrol LGV,Motorway (not London),8.46194088808e-05,5.23184007761e-06,3.15684928864e-06
2016,Scotland,0,7.4,9,Rigid HGV,Motorway (not London),0.00476405210793,0.000263716385234,0.000243932023295
2016,Scotland,0,7.4,10,Artic HGV,Motorway (not London),0.00761536788195,0.000343445455655,0.000318560516462
2016,Scotland,0,7.4,10,B100 Artic HGV,Motorway (not London),0.00667868088931,3.63980361726e-05,2.68654639513e-05
2016,Scotland,0,7.4,10,B100 Bus,Motorway (not London),0.0045799841173,2.70554410235e-05,1.88185531442e-05
2016,Scotland,0,7.4,10,B100 Coach,Motorway (not London),0.00632201088592,5.18123997608e-05,4.23376659455e-05
2016,Scotland,0,7.4,10,B100 Rigid HGV,Motorway (not London),0.00409103464335,2.65182625299e-05,1.85938242794e-05
2016,Scotland,0,7.4,10,Battery EV Cars,Motorway (not London),0.0,4.0696081669e-06,2.40208009927e-06
2016,Scotland,0,7.4,10,Battery EV LGV,Motorway (not London),0.0,5.21319179825e-06,3.13913324135e-06
2016,Scotland,0,7.4,10,Biogas Bus,Motorway (not London),0.00069444446126,1.93561409105e-05,1.15042184916e-05
2016,Scotland,0,7.4,10,Biomethane Bus,Motorway (not London),0.00069444446126,1.93561409105e-05,1.15042184916e-05
2016,Scotland,0,7.4,10,Bus and Coach,Motorway (not London),0.00714277615771,0.00033266475657,0.000309147406369
2016,Scotland,0,7.4,10,CNG Bus,Motorway (not London),0.00069444446126,1.93561409105e-05,1.15042184916e-05
2016,Scotland,0,7.4,10,Diesel Car,Motorway (not London),0.000252632598858,8.33904196043e-05,7.77568493504e-05
2016,Scotland,0,7.4,10,E85 Bioethanol Cars,Motorway (not London),0.000435792579083,4.49569142802e-06,2.80685890175e-06
2016,Scotland,0,7.4,10,E85 Bioethanol LGV,Motorway (not London),0.000550748081878,5.63927460462e-06,3.5439122712e-06
2016,Scotland,0,7.4,10,FCEV Bus,Motorway (not London),0.0,1.79672515515e-05,1.018477451e-05
2016,Scotland,0,7.4,10,FCEV Cars,Motorway (not London),0.0,4.0696081669e-06,2.40208009927e-06
2016,Scotland,0,7.4,10,FCEV LGV,Motorway (not London),0.0,5.21319179825e-06,3.13913324135e-06
2016,Scotland,0,7.4,10,Full Hybrid Diesel Cars,Motorway (not London),0.00027608484379,1.42747267091e-05,1.20969425552e-05
2016,Scotland,0,7.4,10,Full Hybrid Petrol Cars,Motorway (not London),0.000217896289541,4.60221190224e-06,2.90805360237e-06
2016,Scotland,0,7.4,10,Full Hybrid Petrol LGV,Motorway (not London),1.3311038856e-05,5.42490988664e-06,3.34026572091e-06
2016,Scotland,0,7.4,10,Hybrid Bus,Motorway (not London),0.00231695338152,3.7766447349e-05,2.89940089715e-05
2016,Scotland,0,7.4,10,LGV,Motorway (not London),0.001057997928,6.51545051369e-05,6.00833773206e-05
2016,Scotland,0,7.4,10,LPG Cars,Motorway (not London),8.80555526237e-05,4.60221190224e-06,2.90805360237e-06
2016,Scotland,0,7.4,10,LPG LGV,Motorway (not London),0.000261580717051,5.74579553358e-06,3.64510697182e-06
2016,Scotland,0,7.4,10,Motorcycle,Motorway (not London),3.17573430948e-05,5.02181865158e-06,4.15230806539e-06
2016,Scotland,0,7.4,10,Petrol Car,Motorway (not London),0.000435792579083,4.60221190224e-06,2.90805360237e-06
2016,Scotland,0,7.4,10,Plug-In Hybrid Petrol Cars,Motorway (not London),4.35792571807e-05,4.12286863138e-06,2.4526773359e-06
2016,Scotland,0,7.4,10,Plug-In Hybrid Petrol LGV,Motorway (not London),8.46194088808e-05,5.23139169673e-06,3.15642341775e-06
2016,Scotland,0,7.4,10,Rigid HGV,Motorway (not London),0.00476405210793,0.000263716385234,0.000243932023295
2016,Scotland,0,7.4,12,Artic HGV,Motorway (not London),0.00761536788195,0.000343445455655,0.000318560516462
2016,Scotland,0,7.4,12,B100 Artic HGV,Motorway (not London),0.00667868088931,3.63980361726e-05,2.68654639513e-05
2016,Scotland,0,7.4,12,B100 Bus,Motorway (not London),0.00432474305853,2.65782946371e-05,1.83652646228e-05
2016,Scotland,0,7.4,12,B100 Coach,Motorway (not London),0.00632201088592,4.98055705975e-05,4.04311795137e-05
2016,Scotland,0,7.4,12,B100 Rigid HGV,Motorway (not London),0.00409103464335,2.65182625299e-05,1.85938242794e-05
2016,Scotland,0,7.4,12,Battery EV Cars,Motorway (not London),0.0,4.0696081669e-06,2.40208009927e-06
2016,Scotland,0,7.4,12,Battery EV LGV,Motorway (not London),0.0,5.21319179825e-06,3.13913324135e-06
2016,Scotland,0,7.4,12,Biogas Bus,Motorway (not London),0.00069444446126,1.93561409105e-05,1.15042184916e-05
2016,Scotland,0,7.4,12,Biomethane Bus,Motorway (not London),0.00069444446126,1.93561409105e-05,1.15042184916e-05
2016,Scotland,0,7.4,12,Bus and Coach,Motorway (not London),0.00714277615771,0.00033266475657,0.000309147406369
2016,Scotland,0,7.4,12,CNG Bus,Motorway (not London),0.00069444446126,1.93561409105e-05,1.15042184916e-05
2016,Scotland,0,7.4,12,Diesel Car,Motorway (not London),0.000245460279984,8.02484719316e-05,7.47720041545e-05
2016,Scotland,0,7.4,12,E85 Bioethanol Cars,Motorway (not London),0.00043973949505,4.49569142802e-06,2.80685890175e-06
2016,Scotland,0,7.4,12,E85 Bioethanol LGV,Motorway (not London),0.000560082204174,5.63927460462e-06,3.5439122712e-06
2016,Scotland,0,7.4,12,FCEV Bus,Motorway (not London),0.0,1.79672515515e-05,1.018477451e-05
2016,Scotland,0,7.4,12,FCEV Cars,Motorway (not London),0.0,4.0696081669e-06,2.40208009927e-06
2016,Scotland,0,7.4,12,FCEV LGV,Motorway (not London),0.0,5.21319179825e-06,3.13913324135e-06
2016,Scotland,0,7.4,12,Full Hybrid Diesel Cars,Motorway (not London),0.000260619359324,1.40385163832e-05,1.1872542018e-05
2016,Scotland,0,7.4,12,Full Hybrid Petrol Cars,Motorway (not London),0.000219869747525,4.60221190224e-06,2.90805360237e-06
2016,Scotland,0,7.4,12,Full Hybrid Petrol LGV,Motorway (not London),1.29564023155e-05,5.42490988664e-06,3.34026572091e-06
2016,Scotland,0,7.4,12,Hybrid Bus,Motorway (not London),0.00201882841066,3.57366188837e-05,2.70656746579e-05
2016,Scotland,0,7.4,12,LGV,Motorway (not London),0.00100628985092,6.48492350592e-05,5.97933758399e-05
2016,Scotland,0,7.4,12,LPG Cars,Motorway (not London),8.80555526237e-05,4.60221190224e-06,2.90805360237e-06
2016,Scotland,0,7.4,12,LPG LGV,Motorway (not London),0.000251243560342,5.74579553358e-06,3.64510697182e-06
2016,Scotland,0,7.4,12,Motorcycle,Motorway (not London),3.3823245758e-05,5.02181865158e-06,4.15230806539e-06
2016,Scotland,0,7.4,12,Petrol Car,Motorway (not London),0.00043973949505,4.60221190224e-06,2.90805360237e-06
2016,Scotland,0,7.4,12,Plug-In Hybrid Petrol Cars,Motorway (not London),4.39739524154e-05,4.12286863138e-06,2.4526773359e-06
2016,Scotland,0,7.4,12,Plug-In Hybrid Petrol LGV,Motorway (not London),8.60859145178e-05,5.23036760569e-06,3.15545048579e-06
2016,Scotland,0,7.4,12,Rigid HGV,Motorway (not London),0.00476405210793,0.000263716385234,0.000243932023295
2016,Scotland,0,7.4,14,Artic HGV,Motorway (not London),0.00710966344923,0.000319782178849,0.000296080397675
2016,Scotland,0,7.4,14,B100 Artic HGV,Motorway (not London),0.00615450460464,3.52220631612e-05,2.57482915913e-05
2016,Scotland,0,7.4,14,B100 Bus,Motorway (not London),0.00392568437383,2.57644569501e-05,1.75921195478e-05
2016,Scotland,0,7.4,14,B100 Coach,Motorway (not London),0.00561618898064,4.62252646685e-05,3.70298876078e-05
2016,Scotland,0,7.4,14,B100 Rigid HGV,Motorway (not London),0.00373705918901,2.53891521425e-05,1.75211680471e-05
2016,Scotland,0,7.4,14,Battery EV Cars,Motorway (not London),0.0,4.0696081669e-06,2.40208009927e-06
2016,Scotland,0,7.4,14,Battery EV LGV,Motorway (not London),0.0,5.21319179825e-06,3.13913324135e-06
2016,Scotland,0,7.4,14,Biogas Bus,Motorway (not London),0.00069444446126,1.93561409105e-05,1.15042184916e-05
2016,Scotland,0,7.4,14,Biomethane Bus,Motorway (not London),0.00069444446126,1.93561409105e-05,1.15042184916e-05
2016,Scotland,0,7.4,14,Bus and Coach,Motorway (not London),0.00639100559056,0.000296279875329,0.000274581776466
2016,Scotland,0,7.4,14,CNG Bus,Motorway (not London),0.00069444446126,1.93561409105e-05,1.15042184916e-05
2016,Scotland,0,7.4,14,Diesel Car,Motorway (not London),0.000238536405959,7.72060520831e-05,7.18817027519e-05
2016,Scotland,0,7.4,14,E85 Bioethanol Cars,Motorway (not London),0.000443914148491,4.49569142802e-06,2.80685890175e-06
2016,Scotland,0,7.4,14,E85 Bioethanol LGV,Motorway (not London),0.000569443276618,5.63927460462e-06,3.5439122712e-06
2016,Scotland,0,7.4,14,FCEV Bus,Motorway (not London),0.0,1.79672515515e-05,1.018477451e-05
2016,Scotland,0,7.4,14,FCEV Cars,Motorway (not London),0.0,4.0696081669e-06,2.40208009927e-06
2016,Scotland,0,7.4,14,FCEV LGV,Motorway (not London),0.0,5.21319179825e-06,3.13913324135e-06
