,year,euro,version,speed,vehicle,NOx (g/km/s/veh),PM10 (g/km/s/veh),PM2.5 (g/km/s/veh)
53,2013,0,7.0,40,5. Buses and Coaches,0.000134742425871,6.78434253132e-06,5.8618179537e-06
54,2013,0,7.0,40,6. Rigid HGVs,0.000106126986793,5.52408346266e-06,4.68007874588e-06
55,2013,0,7.0,40,7. Articulated HGVs,0.000179955706699,7.29836074242e-06,6.29783380646e-06
56,2013,0,7.0,45,1. Motorcycles,2.50886841968e-06,4.86549254219e-07,3.999419107e-07
57,2013,0,7.0,45,2. Petrol Cars,2.2569707653e-05,3.50359186996e-07,1.97618703623e-07
58,2013,0,7.0,45,3. Diesel Cars,6.8205667958e-06,1.9759040697e-06,1.7418861944e-06
59,2013,0,7.0,45,4. LGV,1.64568064065e-05,2.94782353194e-06,2.60892420556e-06
60,2013,0,7.0,45,5. Buses and Coaches,0.000128032363136,6.31787406746e-06,5.41867302672e-06
61,2013,0,7.0,45,6. Rigid HGVs,0.000101943849586,5.22779646417e-06,4.39860650658e-06
62,2013,0,7.0,45,7. Articulated HGVs,0.000170141909621,6.84804626871e-06,5.87003478358e-06
63,2013,0,7.0,50,1. Motorcycles,2.67754853667e-06,4.86549254219e-07,3.999419107e-07
64,2013,0,7.0,50,2. Petrol Cars,2.34270100918e-05,3.50358163814e-07,1.97617723074e-07
65,2013,0,7.0,50,3. Diesel Cars,6.54527366351e-06,1.83455642855e-06,1.60760612289e-06
66,2013,0,7.0,50,4. LGV,1.4262822333e-05,2.96476014228e-06,2.62501407633e-06
67,2013,0,7.0,50,5. Buses and Coaches,0.000122677331092,5.95253322899e-06,5.07159938934e-06
68,2013,0,7.0,50,6. Rigid HGVs,9.87268213066e-05,4.99769839735e-06,4.18001309299e-06
69,2013,0,7.0,50,7. Articulated HGVs,0.000161811258295,6.55367466607e-06,5.59038198844e-06
70,2013,0,7.0,60,1. Motorcycles,3.11274106934e-06,4.86549254219e-07,3.999419107e-07
71,2013,0,7.0,60,2. Petrol Cars,2.53223406617e-05,3.38717427439e-07,1.86559020676e-07
72,2013,0,7.0,60,3. Diesel Cars,6.18924605078e-06,1.6314778577e-06,1.41468137826e-06
73,2013,0,7.0,60,4. LGV,1.11920880954e-05,3.01865270558e-06,2.6762120342e-06
74,2013,0,7.0,60,5. Buses and Coaches,0.000114840819151,5.42426550965e-06,4.56974476037e-06
75,2013,0,7.0,60,6. Rigid HGVs,9.43581471802e-05,4.67231484436e-06,3.87089858123e-06
76,2013,0,7.0,60,7. Articulated HGVs,0.000148349427036,6.27348981652e-06,5.32420608579e-06
77,2013,0,7.0,70,1. Motorcycles,3.64560833077e-06,4.86549254219e-07,3.999419107e-07
78,2013,0,7.0,70,2. Petrol Cars,2.74559333775e-05,3.38713817882e-07,1.86555610071e-07
79,2013,0,7.0,70,3. Diesel Cars,6.09261951467e-06,1.53455437157e-06,1.32260413466e-06
80,2013,0,7.0,70,4. LGV,9.87766543403e-06,3.10004315907e-06,2.75353272627e-06
81,2013,0,7.0,70,5. Buses and Coaches,0.000109520784463,5.06844889969e-06,4.23171923103e-06
82,2013,0,7.0,70,6. Rigid HGVs,9.1921639978e-05,4.463165169e-06,3.6722067307e-06
83,2013,0,7.0,70,7. Articulated HGVs,0.000137862589327,6.15243925495e-06,5.20920821145e-06
84,2013,0,7.0,80,1. Motorcycles,4.24311792813e-06,4.86549254219e-07,3.999419107e-07
85,2013,0,7.0,80,2. Petrol Cars,2.98289778584e-05,3.38709867265e-07,1.86551858405e-07
86,2013,0,7.0,80,3. Diesel Cars,6.25539405519e-06,1.5437857428e-06,1.33137393732e-06
87,2013,0,7.0,80,4. LGV,1.03195543488e-05,3.20858612213e-06,2.85664873445e-06
88,2013,0,7.0,80,5. Buses and Coaches,0.000105911036371,4.8188535402e-06,3.99460350309e-06
89,2013,0,7.0,80,6. Rigid HGVs,9.08472502488e-05,4.32593014921e-06,3.54183316631e-06
90,2013,0,7.0,80,7. Articulated HGVs,0.000129404521431,5.89841056353e-06,4.9678810683e-06
91,2013,0,7.0,90,1. Motorcycles,4.8846259233e-06,4.86549254219e-07,3.999419107e-07
