,year,euro,version,speed,vehicle,NOx (g/km/s/veh),PM10 (g/km/s/veh),PM2.5 (g/km/s/veh)
0,2013,0,6.0,5,1. Motorcycles,2.94697497338e-06,4.86549254219e-07,3.999419107e-07
1,2013,0,6.0,5,2. Petrol Cars,1.82458534255e-05,3.5035327528e-07,1.97613090336e-07
2,2013,0,6.0,5,3. Diesel Cars,1.05659737528e-05,3.7084091673e-06,3.38762356478e-06
3,2013,0,6.0,5,4. LGV,4.41088741354e-05,3.01933687297e-06,2.67686186817e-06
4,2013,0,6.0,5,5. Buses and Coaches,0.000267913943389,1.76415524038e-05,1.61761672643e-05
5,2013,0,6.0,5,6. Rigid HGVs,0.000188724923646,1.14146487249e-05,1.02761159724e-05
6,2013,0,6.0,5,7. Articulated HGVs,0.000314878183417,1.50584237417e-05,1.36698936331e-05
7,2013,0,6.0,10,1. Motorcycles,2.68546318694e-06,4.86549254219e-07,3.999419107e-07
8,2013,0,6.0,10,2. Petrol Cars,1.82455078175e-05,3.5035327528e-07,1.97613090336e-07
9,2013,0,6.0,10,3. Diesel Cars,1.05659737528e-05,3.7084091673e-06,3.38762356478e-06
10,2013,0,6.0,10,4. LGV,4.41088741354e-05,3.01933687297e-06,2.67686186817e-06
11,2013,0,6.0,10,5. Buses and Coaches,0.000267913943389,1.76415524038e-05,1.61761672643e-05
12,2013,0,6.0,10,6. Rigid HGVs,0.000188724923646,1.14146487249e-05,1.02761159724e-05
13,2013,0,6.0,10,7. Articulated HGVs,0.000314878183417,1.50584237417e-05,1.36698936331e-05
14,2013,0,6.0,15,1. Motorcycles,2.4882310754e-06,4.86549254219e-07,3.999419107e-07
15,2013,0,6.0,15,2. Petrol Cars,1.86837332876e-05,3.5035327528e-07,1.97613090336e-07
16,2013,0,6.0,15,3. Diesel Cars,9.83630707196e-06,3.38129120792e-06,3.07686127599e-06
17,2013,0,6.0,15,4. LGV,3.88413427572e-05,2.98875602311e-06,2.64781010628e-06
18,2013,0,6.0,15,5. Buses and Coaches,0.00022666703444,1.39327112265e-05,1.26527684188e-05
19,2013,0,6.0,15,6. Rigid HGVs,0.000167047182913,9.86964641925e-06,8.80836432771e-06
20,2013,0,6.0,15,7. Articulated HGVs,0.000284782465314,1.35853779284e-05,1.22704996102e-05
21,2013,0,6.0,20,1. Motorcycles,2.35300149143e-06,4.86549254219e-07,3.999419107e-07
22,2013,0,6.0,20,2. Petrol Cars,1.91818162421e-05,3.5035327528e-07,1.97613090336e-07
23,2013,0,6.0,20,3. Diesel Cars,9.17153465707e-06,3.08071184918e-06,2.79131108982e-06
