,year,euro,version,speed,vehicle,NOx (g/km/s/veh),PM10 (g/km/s/veh),PM2.5 (g/km/s/veh)
0,2013,0,7.4,5,1. Motorcycles,2.03647960006e-06,4.71602760399e-07,3.85742765729e-07
1,2013,0,7.4,5,2. Petrol Cars,1.80914576049e-05,3.50391530901e-07,1.97649427491e-07
2,2013,0,7.4,5,3. Diesel Cars,1.05354083644e-05,3.70589509657e-06,3.38537779498e-06
3,2013,0,7.4,5,4. LGV,4.38644092355e-05,2.98904365081e-06,2.64808340944e-06
4,2013,0,7.4,5,5. Buses and Coaches,0.000268457632046,1.76367720996e-05,1.61716252478e-05
5,2013,0,7.4,5,6. Rigid HGVs,0.00019549348508,1.15999773698e-05,1.04521777757e-05
6,2013,0,7.4,5,7. Articulated HGVs,0.000316062069032,1.50906125782e-05,1.37004735734e-05
7,2013,0,7.4,10,1. Motorcycles,2.03647960006e-06,4.71602760399e-07,3.85742765729e-07
8,2013,0,7.4,10,2. Petrol Cars,1.80909974006e-05,3.50391530901e-07,1.97649427491e-07
9,2013,0,7.4,10,3. Diesel Cars,1.05354083644e-05,3.70589509657e-06,3.38537779498e-06
10,2013,0,7.4,10,4. LGV,4.38644092355e-05,2.98904365081e-06,2.64808340944e-06
11,2013,0,7.4,10,5. Buses and Coaches,0.000267945928499,1.76367720996e-05,1.61716252478e-05
12,2013,0,7.4,10,6. Rigid HGVs,0.00019549348508,1.15999773698e-05,1.04521777757e-05
13,2013,0,7.4,10,7. Articulated HGVs,0.000316062069032,1.50906125782e-05,1.37004735734e-05
14,2013,0,7.4,15,1. Motorcycles,2.13720750253e-06,4.71602760399e-07,3.85742765729e-07
15,2013,0,7.4,15,2. Petrol Cars,1.85254230018e-05,3.50374079972e-07,1.97632857635e-07
16,2013,0,7.4,15,3. Diesel Cars,9.8071532193e-06,3.37886831403e-06,3.07470236294e-06
17,2013,0,7.4,15,4. LGV,3.86721949326e-05,2.95882887258e-06,2.6193793019e-06
18,2013,0,7.4,15,5. Buses and Coaches,0.000226602162002,1.39286612466e-05,1.26489212562e-05
